cell_suspension.biomaterial_core.biomaterial_id,inferred_cell_type,organism_part,cell_suspension.provenance.document_id
24088_6_227,monocyte,blood,7dfa5ec8-8eb2-4746-9642-37cf85b43bb5
24088_6_170,T cell,blood,a8cd706f-3294-4c53-995c-4077b55849a2
24088_3_75,T cell,blood,8f585ea8-08b3-462f-91a2-66edbf1c1761
24088_6_51,T cell,blood,fc315d76-acb1-4ad4-af00-8304733e6095
24088_4_73,T cell,blood,7d97c898-b011-4e6e-8b2e-c0a48e90034e
24088_6_166,monocyte,blood,dc8632b8-0a76-410a-b2d7-cd1ea6c730d9
24088_6_275,monocyte,blood,e96c2199-7ea1-4dca-be14-8a1e4739684e
24088_6_71,T cell,blood,1d83139b-64fc-4c04-8bd9-b08f7f222628
24088_6_248,T cell,blood,1bbd28c8-91bd-4136-a933-a6c72ed84361
24088_5_35,T cell,blood,81bca794-c6b2-485e-a19e-220ea0164afc
24088_3_145,T cell,blood,d113540a-a853-4690-b485-0ea5c97cbe96
24088_3_325,T cell,blood,8decc861-7123-4cd1-a122-413addc3bb13
24088_6_107,monocyte,blood,373567d5-95b1-4a55-bc7c-ff1bf499ef71
24088_5_326,T cell,blood,b4064c43-ed16-4a51-b0e4-3adfac89728a
24088_5_344,plasma cell,blood,8b3e80e9-b1b3-41e8-b46d-cd68387f4f0c
24088_5_215,monocyte,blood,9ab9d455-2674-4f02-aaa2-71d829bf56ed
24088_6_262,T cell,blood,38418d0d-9830-4038-950e-087ea2f22414
24088_4_16,T cell,blood,f8536526-90a8-457f-a728-72934c889dc2
24088_5_150,T cell,blood,05000ef4-8ae4-4309-afac-74edfc87718c
24088_4_61,T cell,blood,e003909d-b19d-480e-85f5-7e71325c6bf0
24088_3_229,T cell,blood,b7933fb3-049a-4e81-a893-30153e55b64d
24088_5_225,T cell,blood,f5afa630-678e-4d01-af2d-638c9f8863e9
24088_5_10,T cell,blood,8f8be5e0-f2b6-421d-b3df-c6dd70f632cb
24088_3_117,monocyte,blood,25807f61-ff86-4e12-be5b-c5ef929ded42
24088_5_226,T cell,blood,0f1980a9-8a36-4be0-b96f-0038068fde89
24088_3_150,T cell,blood,ed326f00-11ec-4e60-a658-5786fc186601
24088_5_230,T cell,blood,00451a81-8031-43db-b60a-89fcf5c4e493
24088_3_233,T cell,blood,9f3ee8a2-a0d4-46a6-8f4f-65b6e45671d3
24088_6_40,monocyte,blood,f9f2dd2a-851a-41bc-9b1b-c09c073d94cd
24088_5_16,CD16-positive natural killer cell (NK CD16+),blood,411a55d1-5a1a-4899-94d4-e28b2ee964f9
24088_5_37,T cell,blood,6a78bee4-5502-4239-8ca7-bd27a36fe786
24088_6_285,T cell,blood,b3f57964-4d32-4679-9045-e3201b09bb6c
24088_6_240,T cell,blood,7cbfb20c-be1f-4e12-8a5f-cc43e5f38911
24088_3_171,T cell,blood,1c0823df-1659-49e4-8d65-ec5032d37049
24088_4_152,CD16-positive natural killer cell (NK CD16+),blood,20fe0cd8-9c2e-4b17-a298-6995e8f355e2
24088_3_380,T cell,blood,406b1d55-1c04-4019-b82a-1e4f33539bc2
24088_3_338,CD16-negative natural killer cell (NK CD16-),blood,312fd5cd-7843-4453-a6ea-1a6ee4232c4e
24088_4_79,granulocyte,blood,08a64beb-14e0-4ba3-9fb6-be246fca68e1
24088_6_135,monocyte,blood,18a91ec4-0154-48bb-8c30-595ef2b467f5
24088_3_189,plasmacytoid dendritic cell (DC2),blood,7ed8fb4c-a4fd-4527-a002-6b1921d92b8b
24088_3_14,monocyte,blood,8266ea04-499b-49b9-b170-2e993a9a5ae1
24088_3_227,T cell,blood,287febf3-64d3-4121-97e5-3c49cc84a84f
24088_6_47,CD16-positive natural killer cell (NK CD16+),blood,8aacb6d6-4929-473c-b11d-d6f3a46f3737
24088_4_183,T cell,blood,65493123-7172-46c0-9287-9fbdcd350b20
24088_4_161,T cell,blood,90fcbb74-8279-48a4-9272-7c3f23dd932d
24088_4_130,T cell,blood,626aa81c-5b50-4586-9edb-5ab0846d3247
24088_6_16,monocyte,blood,fd773e21-af4c-462a-9a21-5a2242df2da5
24088_4_119,T cell,blood,998f678a-6659-40f0-979e-925b39a7471f
24088_6_251,monocyte,blood,de15d9a7-b8d0-4b87-9331-5d05ab8c8d21
24088_3_240,T cell,blood,9b078b33-5ffc-4528-9267-a3bf79811f94
24088_6_30,CD16-positive natural killer cell (NK CD16+),blood,36a896d2-1968-4f4b-aa6a-c0cdd0c54171
24088_4_141,T cell,blood,0f870ac9-35d0-44a4-9de3-598f8900c996
24088_4_29,T cell,blood,66097a61-fe15-4e02-b4b1-36d4c0fc304f
24088_3_195,CD16-positive natural killer cell (NK CD16+),blood,c3c21682-b1cf-4bdc-87ec-227df3d85c1d
24088_4_75,NA,blood,9fb4159e-ba98-4a5c-a0a0-34c02ed06429
24088_5_203,T cell,blood,fb2457e2-7639-4a10-b2ee-597e247f9d7c
24088_3_295,villous cytotrophoblast (VCT),blood,1586748f-ed34-4629-836d-5ede517ef3ce
24088_3_257,T cell,blood,fb24f2f0-8c6c-4bf4-8b69-be29ed4e0364
24088_6_273,monocyte,blood,ab57f523-dd72-4136-99b6-13776d5bbbb0
24088_6_223,T cell,blood,602c61a9-dff1-4b9c-8c08-d8611e67d819
24088_3_346,T cell,blood,d961c752-3ead-47c0-8990-1f26e7ad1c12
24088_5_362,plasmacytoid dendritic cell (DC2),blood,e2e120cd-7030-4c46-ae0d-b5fda1a3d856
24088_5_354,T cell,blood,d043e6dc-430b-4e7e-9f7c-807cecb2a17f
24088_3_190,monocyte,blood,59ae354c-ed43-4ba8-b807-ffd2a458e92b
24088_3_246,T cell,blood,db6d0c18-95c9-48ed-b7ea-6db7c07acf14
24088_3_140,monocyte,blood,3b0a77e0-4167-47d8-ba3d-efb12eb1c118
24088_3_293,granulocyte,blood,a678102b-f851-4114-93c9-054a0211dc6b
24088_6_300,monocyte,blood,dde7735e-f9c6-4b5a-af78-d3bb9572c99a
24088_5_371,NA,blood,8516c723-68a4-4219-bba0-6d6e2758392d
24088_3_165,plasmacytoid dendritic cell (DC2),blood,7c722848-4e86-4b48-8acb-e3639a1f24cb
24088_5_211,CD16-positive natural killer cell (NK CD16+),blood,2f91f3e4-6de5-446a-aecb-53f762d3e8d0
24088_3_17,monocyte,blood,cde381de-dc2d-40f7-8d01-9af37dfb3819
24088_3_201,T cell,blood,b769f7b2-8db0-4672-a531-b910d6752577
24088_3_315,T cell,blood,fece0400-7fb4-4e72-9af8-3a49a028db49
24088_3_363,CD16-negative natural killer cell (NK CD16-),blood,de19f1f5-77db-4aa6-ae6d-7a4b48957e90
24088_3_186,plasma cell,blood,30f02eec-7bf0-475e-a16f-4264915f7220
24088_3_98,T cell,blood,41be9c07-7256-4147-b421-0feafa43f2f6
24088_3_121,T cell,blood,518abe90-7ecb-4d2f-ba20-53a3b950cbc7
24088_6_61,monocyte,blood,b266bec8-f747-4559-8913-491b7003c5d6
24088_4_182,T cell,blood,4818dc88-299a-4034-b1d9-9c7075df7457
24088_4_109,T cell,blood,ac71d967-e324-44e5-a8b6-4c210eae7ec2
24088_6_98,NA,blood,d6f6a8fc-2ce0-4661-a506-77606b54b2ec
24088_5_90,T cell,blood,568b86bb-7775-4138-998d-344e5be49866
24088_6_266,T cell,blood,3e1aa0a1-7952-4aa0-8e50-f431bdd84483
24088_4_5,T cell,blood,14bb8776-86cd-40ad-b5f2-77f60c937936
24088_6_183,NA,blood,0cf5a57f-f642-4b1e-8018-a26293934814
24088_5_270,monocyte,blood,edd48bc0-6a5b-44f9-8ee0-1e0b6784e2aa
24088_5_204,T cell,blood,0af60bd9-b00d-4092-aa0c-34753c763264
24088_4_82,NA,blood,e3e958af-2a9a-43bf-b242-590bc0d2e7ce
24088_3_99,T cell,blood,ad8a4884-32fa-4b3f-b2a3-4d746d9d5a2a
24088_4_11,CD16-positive natural killer cell (NK CD16+),blood,5d199f00-b1b9-43ab-a06c-e5a2d23c5ac2
24088_6_358,T cell,blood,7a4b9e2c-423b-46ba-af88-65ac768bf25e
24088_6_343,CD16-positive natural killer cell (NK CD16+),blood,5167e400-c7e8-4bbd-896f-b721836e5057
24088_6_265,T cell,blood,67b7a2ba-a624-47e7-956c-4edc29c0c239
24088_5_373,CD16-positive natural killer cell (NK CD16+),blood,2500172f-4155-4c47-b227-508d8578549a
24088_4_53,T cell,blood,9493fd23-de09-4816-8f18-81729171e739
24088_3_371,T cell,blood,03e880a2-5afc-47e0-a209-c1f13343bdf1
24088_5_119,T cell,blood,1a42f9d0-0609-46f9-9120-06ff8eb21247
24088_5_1,T cell,blood,40bad906-59d0-463d-ba9d-39398bdd5f85
24088_6_247,T cell,blood,9a586cb9-eb0b-482b-9a86-630bfa3d45f3
24088_5_257,T cell,blood,5fcef608-e944-4c7e-a5ae-129d9e5d8f9c
24088_6_221,T cell,blood,e631a3ea-a516-445d-ab90-314611cc593e
24088_4_113,T cell,blood,83fb4c1c-7798-422a-a2f4-6085fa552768
24088_4_124,CD16-positive natural killer cell (NK CD16+),blood,c619d461-0ea5-4ea7-8a56-ad32cc6d2fd1
24088_5_7,T cell,blood,dd7a0e7f-fcc2-437f-ab91-5a51382d5cd4
24088_4_160,T cell,blood,6590807f-d8f8-4d01-afd0-da0891e832f6
24088_3_64,monocyte,blood,5620d482-357a-4cb1-a935-da8a7c798b9f
24088_5_89,CD16-positive natural killer cell (NK CD16+),blood,b567ec3e-64e4-463d-b43d-cdab4f218661
24088_6_81,NA,blood,1a375ae8-1c67-4582-8e80-e383eb51ee1f
24088_5_144,T cell,blood,e1f80986-9a89-4025-ab3e-7a369e1c5c5a
24088_3_296,T cell,blood,b1d86197-59df-475a-b2e9-8e9ca6b04a78
24088_6_192,T cell,blood,9e763e37-14b4-454f-9409-ab7935c7e7d7
24088_3_305,T cell,blood,26b6c5cf-660d-4ecf-be42-aea1c52e8ade
24088_5_278,T cell,blood,6b8a41ae-5cf1-4fa2-90cd-55c7221afbe4
24088_3_23,T cell,blood,9e6b54e7-a8bb-457e-9011-3810cdc92967
24088_3_359,T cell,blood,3ea8a33a-6781-47b2-b1cb-a9f353754f71
24088_5_91,T cell,blood,d5433cc4-8868-40cb-9eea-fe3368c77577
24088_6_268,T cell,blood,b2c6fb52-3bb0-4ab3-b09f-b09e828ed7d5
24088_3_348,T cell,blood,d775a4f4-1255-42c3-b6ef-3c1954f04c3f
24088_3_177,T cell,blood,2ddff42f-030f-43b6-a46b-c8e1c26d73d1
24088_4_129,CD16-negative natural killer cell (NK CD16-),blood,212bc89e-3351-410e-ace6-c364468361c7
24088_5_9,T cell,blood,78510734-2c09-4c62-869a-f13b112ccce5
24088_5_367,monocyte,blood,17b0fcda-54ad-4153-bee6-c9893711b857
24088_6_143,T cell,blood,07e47890-5480-4b62-b23d-2c3d3057c2de
24088_3_248,T cell,blood,ce8228e9-6672-4da2-a277-3e3d9d014be1
24088_3_79,T cell,blood,d99beaf6-f82b-4af0-96b9-12011cf3b8e4
24088_6_225,monocyte,blood,66450924-8232-401b-8c40-e18019793555
24088_5_133,CD16-negative natural killer cell (NK CD16-),blood,6fb4ef09-31b8-4c2c-86cd-be540ab0e885
24088_3_356,T cell,blood,812a3841-6e2f-4060-a094-780f38a2e3b9
24088_3_378,T cell,blood,1e927452-3648-43d8-aa7c-667a82c55d66
24088_5_376,CD16-positive natural killer cell (NK CD16+),blood,b291af60-da6e-4a6f-9f75-7bb5719eea89
24088_3_312,CD16-negative natural killer cell (NK CD16-),blood,32884683-e01e-4e07-8407-bc7fa344d899
24088_4_84,T cell,blood,d018ff3a-e906-4568-8fb1-9da5e4bcc0e9
24088_3_345,CD16-positive natural killer cell (NK CD16+),blood,e18af759-f75c-40e6-91f6-7acee5310877
24088_6_120,CD16-positive natural killer cell (NK CD16+),blood,b9264c11-3dbd-40df-a00d-f96679360029
24088_6_24,T cell,blood,c9a908d7-807a-4551-ad74-9d26e5ab0d9d
24088_5_57,T cell,blood,aff51939-5be7-4632-aa5a-8a44d4cce739
24088_3_78,NA,blood,257cdd0d-4dba-40c5-9386-47ca44262bea
24088_4_137,T cell,blood,0de6e5ee-4f9d-432b-a063-3a21e781ca41
24088_6_102,CD16-positive natural killer cell (NK CD16+),blood,e3d7568e-5ca8-45e8-b739-4115f2a34d1d
24088_3_373,T cell,blood,83b4b622-4266-4129-a1ee-5eb5a971c0e3
24088_5_283,T cell,blood,0f9381f9-e89a-464d-927b-5e33cc4504a1
24088_5_298,T cell,blood,dded9d27-a466-46f5-883b-86194fab743d
