cell_suspension.biomaterial_core.biomaterial_id,inferred_cell_type,organism_part,cell_suspension.provenance.document_id
24087_1_7,decidual macrophage (dM1),decidua,32727322-88c8-4f10-b5df-57d40b5d0ab5
24087_1_79,decidual macrophage (dM1),decidua,ebdd177c-c8b1-4706-91f4-066972118414
24087_1_8,decidual macrophage (dM1),decidua,20f1627e-3da3-4953-be76-a9bde2cd8829
24087_1_80,decidual macrophage (dM1),decidua,342361ef-5768-4a72-b087-2a821a1432e1
24087_1_81,decidual macrophage (dM1),decidua,1c507817-f1d4-41d7-aca7-549fb13cb14a
24087_1_82,decidual macrophage (dM2),decidua,2404a400-f816-464d-9260-9f0752394178
24087_1_83,T cell,decidua,94a43bd7-92a8-40f5-84c0-232758b83073
24087_1_84,T cell,decidua,e6b09b3e-e0b2-4c06-b173-08b68c11dca8
24087_1_85,T cell,decidua,37ec40e2-7c47-40d6-8217-1a06c6a5aee3
24087_1_86,T cell,decidua,4a7e52d6-1168-4514-828b-02544a5a4825
24087_1_87,T cell,decidua,2bc9a1d9-4ad5-49a5-8bfc-6eeca181aa15
24087_1_9,decidual macrophage (dM1),decidua,aaa493b5-ecfc-432b-8c4d-18ee0037cbb6
24087_1_90,T cell,decidua,5b69570a-52d8-4ac8-9859-7b70715f840f
24087_1_91,T cell,decidua,a4c7a6ab-f9db-4807-9289-cee2d0fe4b1e
24087_1_92,T cell,decidua,c4fdf8f6-0d8d-41c8-9258-b4b60fca22cf
24087_1_93,T cell,decidua,a9548ade-0edf-4845-85af-e40dfe7f33b8
24087_1_94,T cell,decidua,127c2b15-1e18-46be-9649-4cefb6c569a0
24087_1_96,decidual macrophage (dM1),decidua,87a23aca-271e-4926-91a2-3a01873fae63
24087_1_97,decidual macrophage (dM1),decidua,a3083b45-013e-44e2-b75b-d6130f74bac2
24087_1_98,decidual macrophage (dM2),decidua,47815917-eb19-4b6f-8447-f5e65e8a6b72
24087_1_99,decidual macrophage (dM1),decidua,997726da-9314-4dbb-8acc-65e1d81bb868
24087_4_332,decidual stromal cell (dS1),decidua,0f18de8a-4910-4ea7-a140-ff2fe895c61d
23728_4_30,decidual macrophage (dM1),decidua,403209df-70dd-4ca6-82f5-6243afbaca22
24087_4_247,decidual natural killer cell (dNK3),decidua,0a42ff7d-fd0a-4144-9dc2-8c92f8abd2f3
24088_8_341,NA,decidua,11531acb-8e82-47e6-bd13-06dacc449f62
23728_5_24,decidual macrophage (dM2),decidua,7b54d6a5-cc4d-4904-97c8-81ee6d51f2a1
24088_7_323,decidual natural killer cell (dNK3),decidua,b9bc1edf-ae9c-43f3-abbf-a259788c4e99
24087_2_1,decidual macrophage (dM1),decidua,78be3d1b-dc9a-4010-b358-ac7620c5f3ec
24087_1_326,decidual stromal cell (dS2),decidua,b3798827-1705-4805-9212-6d79a18dfd1a
23728_8_258,NA,decidua,618b61fa-b813-4e11-972c-130587b642b8
23728_7_366,NA,decidua,92835ea3-fcda-4189-97c4-bb8e5d7fbfa1
23728_6_9,decidual macrophage (dM1),decidua,e71e8dbb-47c7-490e-b2da-93992bb61e8a
23728_8_344,NA,decidua,0d0a9d06-5637-4bca-81b2-2f5c08a06b39
23728_8_196,decidual natural killer cell (dNK2),decidua,9690ae5c-5fcb-40c4-a668-0623755a3be7
24087_2_115,NA,decidua,696667eb-cd51-4682-8737-604641193eb3
24087_5_305,NA,decidua,d499ebfd-09f8-4f42-b92c-8f0422c9ebce
23728_8_347,NA,decidua,0dcaa5db-10c7-4d5c-a092-06cbe53f27f9
24088_7_135,T cell,decidua,48bac744-f19c-44aa-9fec-4a516977dde2
23728_4_133,NA,decidua,3ac68ac8-5907-4d10-9ea1-208a60c7beb4
23728_7_296,NA,decidua,853bafd0-c7b1-4ce6-a9cc-cfe7fa89d06c
23728_6_261,NA,decidua,ebce2d42-c6e3-41b1-9914-523239d9d22d
24087_1_371,decidual stromal cell (dS2),decidua,e62757dc-1b87-43aa-b763-6dd1c2531664
23728_7_158,NA,decidua,369dfa0c-f9b7-4c2c-bf00-3c9f3590668f
24087_1_158,villous cytotrophoblast (VCT),decidua,d12c14e4-8314-472a-9f28-5cfd63561ba3
23728_6_112,T cell,decidua,3e3c45e2-df5e-43f5-97ef-0cc261cac89c
23728_8_4,decidual macrophage (dM1),decidua,5e2243a8-3270-4ccd-889b-063e2d7d7442
24087_3_294,decidual natural killer cell (dNK2),decidua,94a1a905-64c0-4298-8dba-b939379cebaa
24088_4_223,decidual stromal cell (dS1),decidua,9c0d4dac-a894-4c83-a5a0-6591d026c99b
23728_6_153,villous cytotrophoblast (VCT),decidua,8fa1ddd1-f2b8-4c23-a9b2-3443b5c22349
24087_8_101,decidual macrophage (dM2),decidua,84608e70-a38e-4bb7-9a86-76b3ac22a6e7
23728_8_233,NA,decidua,fae04de2-d105-4161-959f-dc4545ae2b15
23728_7_328,NA,decidua,aecc00ec-da2d-4cb8-a5b3-82692ab17df1
24087_5_64,T cell,decidua,a609cd85-55f3-4d34-aec3-c0a64f7fa3a2
23728_6_213,decidual natural killer cell (dNK2),decidua,dff5e376-5d77-491f-bcf6-609905c3cd5b
23728_3_282,NA,decidua,46a0a4fc-b710-4dc0-bfa9-d039596d90e1
24087_2_210,maternal endothelial cell (Endo m),decidua,471b4f10-779b-402b-8d53-9c77b55c3fbe
24087_8_109,T cell,decidua,97980305-34d6-4730-95cf-b21321761318
23728_8_40,T cell,decidua,2784f82b-0cfc-4237-86be-95206c4e87cd
24087_1_189,NA,decidua,452c5642-fc98-4cb7-bbf2-7560ab1ea32a
23728_7_15,T cell,decidua,19631be4-041d-4689-b20d-aa8b3fbab159
24087_7_301,NA,decidua,35d02188-8cde-48fb-8c12-a794cdaaca31
23728_6_163,T cell,decidua,0e68eecf-bdbf-4df5-aa37-a7a9b4df98e4
23728_3_285,villous cytotrophoblast (VCT),decidua,85645947-1e14-4c0c-8c96-941ecd1e3fd3
23728_7_367,NA,decidua,3aff9823-c78e-4106-b116-d37d3ef9c8ba
24087_7_184,NA,decidua,b35d842b-1fee-48da-86b8-e64b6c49f131
24087_2_247,NA,decidua,26596396-2f10-4c8f-9c31-6deb2b4726bb
23728_7_133,syncytiotrophoblast cell (SCT),decidua,47ff8a81-7904-437c-964c-add36baa9202
23728_5_7,NA,decidua,9947cf89-e19d-4441-b70b-95ef29654531
24087_5_291,T cell,decidua,36d8d1fa-d33a-44d2-84e4-9421d923061c
24088_4_366,maternal endothelial cell (Endo m),decidua,8c80b8cf-4fbe-4671-b83c-cc4338a2ca49
23728_5_45,T cell,decidua,ab0a95be-0015-4dcd-bd5d-b0a67d05533d
23728_7_336,NA,decidua,ef794f8d-3f5a-4637-8abe-197716b0b0b6
23728_4_100,decidual macrophage (dM1),decidua,73547d75-3df2-4d2f-b03e-6c875cac0e2d
24087_4_105,decidual macrophage (dM1),decidua,b9959c1e-8114-4bba-a3f9-ef0d47a7f251
23728_6_271,decidual natural killer cell (dNK1),decidua,0c5d7b45-fde8-44dc-858d-38b49627a1ae
23728_5_197,NA,decidua,5565d01a-d4be-4249-b13b-88be99fb7f98
23728_5_296,decidual natural killer cell (dNK3),decidua,c6d53f49-a9cd-494b-b854-d4ba93fb0f87
24087_2_346,NA,decidua,5a64f12b-4db6-4342-8f8b-067117e2e837
23728_8_130,Hofbauer cell (HB),decidua,4e471f23-7c42-4afc-91d4-271d4fea7052
