cell_suspension.biomaterial_core.biomaterial_id,inferred_cell_type,cell_suspension.provenance.document_id
D26Dn6G10,nLGE.24.SP8,9a61d9b5-da14-4a82-9e7d-90a528c9c4fc
D26Dp4A01,nLGE.24.SP8,25a19c98-de31-4c81-9a01-94db59cedff0
D26Dp4A05,nLGE.24.SP8,5b25ccf9-0a77-4522-a5aa-70ac0473f520
D26Dp4A09,nLGE.24.SP8,788de9d8-30cc-495a-8bc4-e0c3fcd73330
D26Dp4A11,nLGE.24.SP8,28cc8070-7c81-49db-b7f6-c648d4cb9c8e
D26Dp4B03,nLGE.24.SP8,c8567775-921e-4000-b3ee-6e22604ac730
D26Dp4C06,nLGE.24.SP8,210362a7-a597-4f62-be8b-b58c71881b31
D26Dp4C07,nLGE.24.SP8,973aac62-6489-428d-be22-6ee878729429
D26Dp4D01,nLGE.24.SP8,64fa6748-f988-4d2a-8fec-c698626a10df
D26Dp4D04,nLGE.24.SP8,7019ffc5-1d88-4018-a20f-9e461ba84dfe
D26Dp4D05,nLGE.24.SP8,f8de8e01-d459-4ba4-88db-cae610529147
D26Dp4D06,nLGE.24.SP8,1902b721-ab10-4a0b-acb3-64c9aac446ac
D26Dp4D07,nLGE.24.SP8,4aa56267-7a3f-49ba-93c0-d64383813bdd
D26Dp4D11,nLGE.24.SP8,bbc41980-17d4-4120-bcc8-d24782bf6e19
D26Dp4E01,nLGE.24.SP8,17c45391-b3ae-41bb-a1e4-d763c09442bc
D26Dp4E04,nLGE.24.SP8,61a9e0fb-e8af-48bb-9087-fc20e3497ee9
D26Dp4E05,nLGE.24.SP8,fb73429d-80be-4efc-a56e-ab72c4a3d1f5
D26Dp4F06,nLGE.24.SP8,112c395f-c22a-4808-a4e1-67ea43a3005d
D26Dp4F09,nLGE.24.SP8,e1e0fe69-ecf2-4ce8-a972-ad1cb05e8962
D26Dp4G01,nLGE.24.SP8,3ceb1938-d4bd-4c4e-9da5-8b5603fd47c2
D26Dp4G07,nLGE.24.SP8,05cd26e4-673a-4b6c-8662-841cd6d1eba8
D26Dp4G10,nLGE.24.SP8,cffbd749-0075-4b87-a9ea-490e8854a8f2
D26Dp4H05,nLGE.24.SP8,80ece60b-db1a-42b2-ab43-f44017631236
D26Dp4H09,nLGE.24.SP8,6e87dec4-5dcd-43c5-b6b6-756910c766a4
D26Dp28A05,nLGE.24.SP8,3c43761e-7475-4149-81b6-c3f6ec8b941f
D26Dp28C06,nLGE.24.SP8,a2275c51-fd2c-45f5-b534-d0ec067d1f67
D26Dp28C09,nLGE.24.SP8,b2036de8-c921-435a-b2df-493fe148e1ed
D26Dp28F02,nLGE.24.SP8,a7cf8120-a490-4d03-b0dc-9c6565c37eab
D26Dp28G04,nLGE.24.SP8,3c2333fe-6f73-45c0-91c4-95ec44d33bbd
D26Dp28G08,nLGE.24.SP8,e78a3acd-5527-46a8-941b-53bc5dc5cd68
D26Dp28H06,nLGE.24.SP8,d5c84c6e-28fe-482e-bae8-7bcd69c06970
D26Dp4A02,nLGE.24.CFC1,74aa6ce9-dfbc-4138-b003-934b681c2cd6
D26Dp4A03,nLGE.24.CFC1,3e5df2ad-8a36-4a28-9496-8091c07684a4
D26Dp4A08,nLGE.24.CFC1,5e79160f-9f58-46f2-a53f-1c7215631861
D26Dp4B01,nLGE.24.CFC1,17893e3a-0ae9-4c5d-bf01-dc8c76492060
D26Dp4B07,nLGE.24.CFC1,2a6c3616-dd61-4e05-9bf6-ee9f23af375c
D26Dp4B08,nLGE.24.CFC1,5abce75a-63fd-4c8a-9695-0debfe58ba59
D26Dp4B09,nLGE.24.CFC1,9bcb08a5-91be-473b-8034-b6b3347e7eb5
D26Dp4B10,nLGE.24.CFC1,ea90f968-3889-4d1c-b15c-b1090ce763d5
D26Dp4C02,nLGE.24.CFC1,54c2cec2-f3cb-4d62-b272-cac4ff72e830
D26Dp4D02,nLGE.24.CFC1,d404963d-18be-4115-89de-80d204165d06
D26Dp4E02,nLGE.24.CFC1,23f56df5-be4d-467d-8cb4-9687cad7f4b9
D26Dp4F03,nLGE.24.CFC1,599fe0ee-0b75-4497-b707-baf6b9b3b86f
D26Dp4F05,nLGE.24.CFC1,2893a658-bfe1-4aae-ac0f-ff45f7a2fd5e
D26Dp4F10,nLGE.24.CFC1,e0a2183d-f045-453c-ac6c-5c72bda5e948
D26Dp4G04,nLGE.24.CFC1,b3e4eb0c-e686-497d-b410-336071a859f9
D26Dp4G05,nLGE.24.CFC1,ccb96d03-eb66-428f-94ed-12927bab870c
D26Dp4H07,nLGE.24.CFC1,99a36c2e-cda5-4fda-837e-29aed95452c3
D26Dp4H08,nLGE.24.CFC1,6332ce80-8fa4-4931-ba36-b031a43f576d
D26Dp4H10,nLGE.24.CFC1,e8d7b3dd-5daf-4085-bdca-ac9a1ef850d3
D26Dp14A10,nLGE.24.CFC1,0000ea22-7033-44a8-88ff-190d8dde0183
D26Dp28A02,nLGE.24.CFC1,cd705e59-cd3c-4019-80cc-c6c6770dfbbf
D26Dp28B11,nLGE.24.CFC1,95f90914-4fd0-44e8-8a01-54a1933c4567
D26Dp28E01,nLGE.24.CFC1,05429ebd-05f3-4cd8-8f45-4c525f594884
D26Dp28G09,nLGE.24.CFC1,92f7ecd8-4726-4e87-a012-1ecba1149d94
D26Dp28H09,nLGE.24.CFC1,563714a8-7095-43c3-bfe3-290759859326
D26Dn16B03,nMGE.24.LHX8,e5a66dbb-90fc-404c-939f-ea0592a4f615
D26Dn26C10,nMGE.24.LHX8,13e5c624-6bdb-4ff3-8434-5c18fdc38e95
D26Dn26G06,nMGE.24.LHX8,c23770d0-dd92-44fa-a644-0e33b0aa10b0
D26Dp4A06,nMGE.24.LHX8,d2b599ff-e9e7-4275-a365-4698e7ed8fa7
D26Dp4B02,nMGE.24.LHX8,93d4b2eb-111e-4da3-b730-939493c7452c
D26Dp4B04,nMGE.24.LHX8,da82b3e4-37f1-425e-9f25-5bd6208147fc
D26Dp4B06,nMGE.24.LHX8,e73fc897-466b-45b2-b270-1ea753915739
D26Dp4C01,nMGE.24.LHX8,31cbaacd-775e-4fbb-a2b2-a38a2153d0ea
D26Dp4C11,nMGE.24.LHX8,6ed7947a-e5f7-4df6-870f-934465ca5bd5
D26Dp4D03,nMGE.24.LHX8,7b7ac63d-a7ba-4514-931f-7f0f609c9c22
D26Dp4D09,nMGE.24.LHX8,8216ec49-3125-4f6b-893b-c0bae23bcb60
D26Dp4E07,nMGE.24.LHX8,7214b994-ab6b-485d-aa65-4b54881cbdea
D26Dp4E09,nMGE.24.LHX8,b686b71d-4b16-46cc-8a69-ee1911ee7557
D26Dp4E11,nMGE.24.LHX8,5015931c-821e-47f6-8946-c533bd5c1a41
D26Dp4F04,nMGE.24.LHX8,a501d4c2-7973-45d2-9f18-aadc8f98cc9a
D26Dp4F08,nMGE.24.LHX8,fd997836-8d5c-4843-8625-d6e30d115663
D26Dp4G03,nMGE.24.LHX8,6cea97fe-8faf-4968-87b4-9f8fe35ae8b9
D26Dp4G11,nMGE.24.LHX8,b39c1a2d-1c32-4d61-9371-385da33be79b
D26Dp4H01,nMGE.24.LHX8,d04c5296-5977-436f-b899-5b7251f571b0
D26Dp4H02,nMGE.24.LHX8,2bc2db99-9b1c-4f78-9104-914ba255858e
