inferred_cell_type,sequence_file.insdc_run_accessions,cell_suspension.biomaterial_core.biomaterial_id,cell_suspension.provenance.document_id
pancreatic A cell,SRR3562210,GSM2171880 1,4dce51b6-a6a3-46ef-9ef4-8f2185966096
pancreatic A cell,SRR3562211,GSM2171881 1,0c770cc1-c56b-49f0-8612-d9f29d8fcd8d
acinar cell,SRR3562212,GSM2171882 1,a8234de8-238b-4074-b88a-d3ae61c8d879
pancreatic A cell,SRR3562213,GSM2171883 1,a1ed7416-c665-4902-a2e5-eaa0c947088c
pancreatic A cell,SRR3562214,GSM2171884 1,b783804a-1f3a-47a9-8a4c-c9ff720c3a38
pancreatic A cell,SRR3562215,GSM2171885 1,9bceec78-5675-4b4b-b2eb-0a8d595cafa6
not available,SRR3562216,GSM2171886 1,8b89bb9b-9778-462d-ad50-609cf8efcd28
not available,SRR3562217,GSM2171887 1,122fb010-4a5c-49a8-8934-8f65462a8c50
acinar cell,SRR3562218,GSM2171888 1,e1b21113-0b06-4638-9bd2-2f4862fed87e
acinar cell,SRR3562219,GSM2171889 1,7177ac7f-c533-43bd-aacb-43bd3479c897
acinar cell,SRR3562220,GSM2171890 1,49272c27-1867-4007-8515-91ce2f16ae05
acinar cell,SRR3562221,GSM2171891 1,c805c05c-6a13-494b-bfe4-e40a019a9571
not available,SRR3562222,GSM2171892 1,3a7c23a6-8570-42e3-89a3-5da866b62cbd
acinar cell,SRR3562223,GSM2171893 1,cf7ae759-922f-44ad-9acf-2c35d0c9aaf3
acinar cell,SRR3562224,GSM2171894 1,9ebb1031-5e3d-4f3f-ba8d-8f70bd7a3b87
pancreatic A cell,SRR3562225,GSM2171895 1,bdb2f38f-2738-4d07-9592-f77242584366
acinar cell,SRR3562226,GSM2171896 1,a07d25ec-e32a-4aea-a3da-2b8c8fd2d992
acinar cell,SRR3562227,GSM2171897 1,bf63d793-493f-4e71-abf6-ea06fa2a06d5
acinar cell,SRR3562228,GSM2171898 1,79fd30f2-9a2f-4354-88c3-fc33dbda429b
acinar cell,SRR3562229,GSM2171899 1,b8638e5b-52b8-4cd6-b80a-4ee5d1eb6e7d
acinar cell,SRR3562230,GSM2171900 1,3637c5b2-d21c-4c94-ba1d-b23658a7cca5
acinar cell,SRR3562231,GSM2171901 1,00a0f8f4-5fb4-467a-a70f-c8b8ebb40769
not available,SRR3562232,GSM2171902 1,0bec32f6-4b96-44d8-9d53-0fd5df5efa34
not available,SRR3562233,GSM2171903 1,c94bcba4-82da-4c52-97c8-a77db1ed864f
not available,SRR3562234,GSM2171904 1,0eafc61a-c664-46d8-822d-f608fd759a73
acinar cell,SRR3562235,GSM2171905 1,55b29c8a-20c4-4eb8-88c0-7f368f6d22a2
pancreatic A cell,SRR3562236,GSM2171906 1,34edb27d-9837-49c1-8fd3-8acc7a6e6f39
pancreatic A cell,SRR3562237,GSM2171907 1,67b55b20-8751-42a6-af72-4280a977881b
not available,SRR3562238,GSM2171908 1,4c03eaa5-8746-4f02-b8ce-0ac9eda955a2
acinar cell,SRR3562239,GSM2171909 1,bd7f4dac-8e7d-4c26-8285-85ef398c787a
acinar cell,SRR3562240,GSM2171910 1,70e787a1-ce3b-466f-bc7b-8d38f92bf237
acinar cell,SRR3562241,GSM2171911 1,f7dd1f89-260f-480a-9e23-0c507d9ae642
pancreatic A cell,SRR3562242,GSM2171912 1,b1fc8657-97c6-4f97-94e7-973707768a80
pancreatic A cell,SRR3562243,GSM2171913 1,d4f165f1-47df-4ac6-8943-8982f7efa488
acinar cell,SRR3562244,GSM2171914 1,983f654f-c50d-47b2-ac79-8f1f4e91a7a6
acinar cell,SRR3562245,GSM2171915 1,d19f4a9b-4ba2-47e9-a5aa-45211a320937
not available,SRR3562246,GSM2171916 1,71be68ca-21cc-45af-9c5d-7d1806bbcdaf
acinar cell,SRR3562247,GSM2171917 1,cfcae753-501b-4f6f-a015-656acdb1b32d
acinar cell,SRR3562248,GSM2171918 1,497e03b5-f08a-4c8d-b68e-56e398c21a3e
acinar cell,SRR3562249,GSM2171919 1,0c8dbb0d-1977-47e5-bb43-620340e3e1e2
acinar cell,SRR3562250,GSM2171920 1,ab3f4334-fd3f-4abd-a078-c56e27acf6cb
