cell_suspension.biomaterial_core.biomaterial_id,cell_suspension.provenance.document_id,annotated_cell_identity.text,annotated_cell_identity.ontology,annotated_cell_identity.ontology_label
24088_6_227,7dfa5ec8-8eb2-4746-9642-37cf85b43bb5,monocyte,CL:0000576,monocyte
24088_6_170,a8cd706f-3294-4c53-995c-4077b55849a2,T cell,CL:0000084,T cell
24088_3_75,8f585ea8-08b3-462f-91a2-66edbf1c1761,T cell,CL:0000084,T cell
24088_6_51,fc315d76-acb1-4ad4-af00-8304733e6095,T cell,CL:0000084,T cell
24088_4_73,7d97c898-b011-4e6e-8b2e-c0a48e90034e,T cell,CL:0000084,T cell
24088_6_166,dc8632b8-0a76-410a-b2d7-cd1ea6c730d9,monocyte,CL:0000576,monocyte
24088_6_275,e96c2199-7ea1-4dca-be14-8a1e4739684e,monocyte,CL:0000576,monocyte
24088_6_71,1d83139b-64fc-4c04-8bd9-b08f7f222628,T cell,CL:0000084,T cell
24088_6_248,1bbd28c8-91bd-4136-a933-a6c72ed84361,T cell,CL:0000084,T cell
24088_5_35,81bca794-c6b2-485e-a19e-220ea0164afc,T cell,CL:0000084,T cell
24088_3_145,d113540a-a853-4690-b485-0ea5c97cbe96,T cell,CL:0000084,T cell
24088_3_325,8decc861-7123-4cd1-a122-413addc3bb13,T cell,CL:0000084,T cell
24088_6_107,373567d5-95b1-4a55-bc7c-ff1bf499ef71,monocyte,CL:0000576,monocyte
24088_5_326,b4064c43-ed16-4a51-b0e4-3adfac89728a,T cell,CL:0000084,T cell
24088_5_344,8b3e80e9-b1b3-41e8-b46d-cd68387f4f0c,plasma cell,CL:0000786,plasma cell
24088_5_215,9ab9d455-2674-4f02-aaa2-71d829bf56ed,monocyte,CL:0000576,monocyte
24088_6_262,38418d0d-9830-4038-950e-087ea2f22414,T cell,CL:0000084,T cell
24088_4_16,f8536526-90a8-457f-a728-72934c889dc2,T cell,CL:0000084,T cell
24088_5_150,05000ef4-8ae4-4309-afac-74edfc87718c,T cell,CL:0000084,T cell
