cell_suspension.biomaterial_core.biomaterial_id,cell_suspension.provenance.document_id,annotated_cell_identity.text,annotated_cell_identity.ontology,annotated_cell_identity.ontology_label
24087_1_7,32727322-88c8-4f10-b5df-57d40b5d0ab5,decidual macrophage type 1,CL:0000235,macrophage
24087_1_79,ebdd177c-c8b1-4706-91f4-066972118414,decidual macrophage type 1,CL:0000235,macrophage
24087_1_8,20f1627e-3da3-4953-be76-a9bde2cd8829,decidual macrophage type 1,CL:0000235,macrophage
24087_1_80,342361ef-5768-4a72-b087-2a821a1432e1,decidual macrophage type 1,CL:0000235,macrophage
24087_1_81,1c507817-f1d4-41d7-aca7-549fb13cb14a,decidual macrophage type 1,CL:0000235,macrophage
24087_1_82,2404a400-f816-464d-9260-9f0752394178,decidual macrophage type 2,CL:0000235,macrophage
24087_1_83,94a43bd7-92a8-40f5-84c0-232758b83073,T cell,CL:0000084,T cell
24087_1_84,e6b09b3e-e0b2-4c06-b173-08b68c11dca8,T cell,CL:0000084,T cell
24087_1_85,37ec40e2-7c47-40d6-8217-1a06c6a5aee3,T cell,CL:0000084,T cell
24087_1_86,4a7e52d6-1168-4514-828b-02544a5a4825,T cell,CL:0000084,T cell
24087_1_87,2bc9a1d9-4ad5-49a5-8bfc-6eeca181aa15,T cell,CL:0000084,T cell
24087_1_9,aaa493b5-ecfc-432b-8c4d-18ee0037cbb6,decidual macrophage type 1,CL:0000235,macrophage
24087_1_90,5b69570a-52d8-4ac8-9859-7b70715f840f,T cell,CL:0000084,T cell
24087_1_91,a4c7a6ab-f9db-4807-9289-cee2d0fe4b1e,T cell,CL:0000084,T cell
24087_1_92,c4fdf8f6-0d8d-41c8-9258-b4b60fca22cf,T cell,CL:0000084,T cell
24087_1_93,a9548ade-0edf-4845-85af-e40dfe7f33b8,T cell,CL:0000084,T cell
24087_1_94,127c2b15-1e18-46be-9649-4cefb6c569a0,T cell,CL:0000084,T cell
24087_1_96,87a23aca-271e-4926-91a2-3a01873fae63,decidual macrophage type 1,CL:0000235,macrophage
24087_1_97,a3083b45-013e-44e2-b75b-d6130f74bac2,decidual macrophage type 1,CL:0000235,macrophage
24087_1_98,47815917-eb19-4b6f-8447-f5e65e8a6b72,decidual macrophage type 2,CL:0000235,macrophage
24087_1_99,997726da-9314-4dbb-8acc-65e1d81bb868,decidual macrophage type 1,CL:0000235,macrophage
24087_4_332,0f18de8a-4910-4ea7-a140-ff2fe895c61d,decidual stromal cell type 1,CL:2000002,decidual cell
23728_4_30,403209df-70dd-4ca6-82f5-6243afbaca22,decidual macrophage type 1,CL:0000235,macrophage
24087_4_247,0a42ff7d-fd0a-4144-9dc2-8c92f8abd2f3,decidual natural killer cell type 3,CL:0002343,decidual natural killer cell
24088_8_341,11531acb-8e82-47e6-bd13-06dacc449f62,NA,NA,NA
23728_5_24,7b54d6a5-cc4d-4904-97c8-81ee6d51f2a1,decidual macrophage type 2,CL:0000235,macrophage
24088_7_323,b9bc1edf-ae9c-43f3-abbf-a259788c4e99,decidual natural killer cell type 3,CL:0002343,decidual natural killer cell
24087_2_1,78be3d1b-dc9a-4010-b358-ac7620c5f3ec,decidual macrophage type 1,CL:0000235,macrophage
24087_1_326,b3798827-1705-4805-9212-6d79a18dfd1a,decidual stromal cell type 2,CL:2000002,decidual cell
23728_8_258,618b61fa-b813-4e11-972c-130587b642b8,NA,NA,NA
23728_7_366,92835ea3-fcda-4189-97c4-bb8e5d7fbfa1,NA,NA,NA
23728_6_9,e71e8dbb-47c7-490e-b2da-93992bb61e8a,decidual macrophage type 1,CL:0000235,macrophage
23728_8_344,0d0a9d06-5637-4bca-81b2-2f5c08a06b39,NA,NA,NA
23728_8_196,9690ae5c-5fcb-40c4-a668-0623755a3be7,decidual natural killer cell type 2,CL:0002343,decidual natural killer cell
24087_2_115,696667eb-cd51-4682-8737-604641193eb3,NA,NA,NA
24087_5_305,d499ebfd-09f8-4f42-b92c-8f0422c9ebce,NA,NA,NA
23728_8_347,0dcaa5db-10c7-4d5c-a092-06cbe53f27f9,NA,NA,NA
24088_7_135,48bac744-f19c-44aa-9fec-4a516977dde2,T cell,CL:0000084,T cell
23728_4_133,3ac68ac8-5907-4d10-9ea1-208a60c7beb4,NA,NA,NA
23728_7_296,853bafd0-c7b1-4ce6-a9cc-cfe7fa89d06c,NA,NA,NA
23728_6_261,ebce2d42-c6e3-41b1-9914-523239d9d22d,NA,NA,NA
24087_1_371,e62757dc-1b87-43aa-b763-6dd1c2531664,decidual stromal cell type 2,CL:2000002,decidual cell
23728_7_158,369dfa0c-f9b7-4c2c-bf00-3c9f3590668f,NA,NA,NA
24087_1_158,d12c14e4-8314-472a-9f28-5cfd63561ba3,villous cytotrophoblast cell,CL:2000060,placental villous trophoblast
23728_6_112,3e3c45e2-df5e-43f5-97ef-0cc261cac89c,T cell,CL:0000084,T cell
23728_8_4,5e2243a8-3270-4ccd-889b-063e2d7d7442,decidual macrophage type 1,CL:0000235,macrophage
24087_3_294,94a1a905-64c0-4298-8dba-b939379cebaa,decidual natural killer cell type 2,CL:0002343,decidual natural killer cell
24088_4_223,9c0d4dac-a894-4c83-a5a0-6591d026c99b,decidual stromal cell type 1,CL:2000002,decidual cell
23728_6_153,8fa1ddd1-f2b8-4c23-a9b2-3443b5c22349,villous cytotrophoblast cell,CL:2000060,placental villous trophoblast
24087_8_101,84608e70-a38e-4bb7-9a86-76b3ac22a6e7,decidual macrophage type 2,CL:0000235,macrophage
23728_8_233,fae04de2-d105-4161-959f-dc4545ae2b15,NA,NA,NA
23728_7_328,aecc00ec-da2d-4cb8-a5b3-82692ab17df1,NA,NA,NA
24087_5_64,a609cd85-55f3-4d34-aec3-c0a64f7fa3a2,T cell,CL:0000084,T cell
23728_6_213,dff5e376-5d77-491f-bcf6-609905c3cd5b,decidual natural killer cell type 2,CL:0002343,decidual natural killer cell
23728_3_282,46a0a4fc-b710-4dc0-bfa9-d039596d90e1,NA,NA,NA
24087_2_210,471b4f10-779b-402b-8d53-9c77b55c3fbe,maternal endothelial cell,CL:0000115,endothelial cell
24087_8_109,97980305-34d6-4730-95cf-b21321761318,T cell,CL:0000084,T cell
23728_8_40,2784f82b-0cfc-4237-86be-95206c4e87cd,T cell,CL:0000084,T cell
24087_1_189,452c5642-fc98-4cb7-bbf2-7560ab1ea32a,NA,NA,NA
23728_7_15,19631be4-041d-4689-b20d-aa8b3fbab159,T cell,CL:0000084,T cell
