cell_suspension.biomaterial_core.biomaterial_id,cell_suspension.provenance.document_id,annotated_cell_identity.text,annotated_cell_identity.ontology,annotated_cell_identity.ontology_label
D26Dn6G10,9a61d9b5-da14-4a82-9e7d-90a528c9c4fc,LGE neuron,CL:0000540||UBERON:0004025,neuron||lateral ganglionic eminence
D26Dp4A01,25a19c98-de31-4c81-9a01-94db59cedff0,LGE neuron,CL:0000540||UBERON:0004025,neuron||lateral ganglionic eminence
D26Dp4A05,5b25ccf9-0a77-4522-a5aa-70ac0473f520,LGE neuron,CL:0000540||UBERON:0004025,neuron||lateral ganglionic eminence
D26Dp4A09,788de9d8-30cc-495a-8bc4-e0c3fcd73330,LGE neuron,CL:0000540||UBERON:0004025,neuron||lateral ganglionic eminence
D26Dp4A11,28cc8070-7c81-49db-b7f6-c648d4cb9c8e,LGE neuron,CL:0000540||UBERON:0004025,neuron||lateral ganglionic eminence
D26Dp4B03,c8567775-921e-4000-b3ee-6e22604ac730,LGE neuron,CL:0000540||UBERON:0004025,neuron||lateral ganglionic eminence
D26Dp4C06,210362a7-a597-4f62-be8b-b58c71881b31,LGE neuron,CL:0000540||UBERON:0004025,neuron||lateral ganglionic eminence
D26Dp4C07,973aac62-6489-428d-be22-6ee878729429,LGE neuron,CL:0000540||UBERON:0004025,neuron||lateral ganglionic eminence
D26Dp4D01,64fa6748-f988-4d2a-8fec-c698626a10df,LGE neuron,CL:0000540||UBERON:0004025,neuron||lateral ganglionic eminence
D26Dp4D04,7019ffc5-1d88-4018-a20f-9e461ba84dfe,LGE neuron,CL:0000540||UBERON:0004025,neuron||lateral ganglionic eminence
D26Dp4D05,f8de8e01-d459-4ba4-88db-cae610529147,LGE neuron,CL:0000540||UBERON:0004025,neuron||lateral ganglionic eminence
D26Dp4D06,1902b721-ab10-4a0b-acb3-64c9aac446ac,LGE neuron,CL:0000540||UBERON:0004025,neuron||lateral ganglionic eminence
D26Dp4D07,4aa56267-7a3f-49ba-93c0-d64383813bdd,LGE neuron,CL:0000540||UBERON:0004025,neuron||lateral ganglionic eminence
D26Dp4D11,bbc41980-17d4-4120-bcc8-d24782bf6e19,LGE neuron,CL:0000540||UBERON:0004025,neuron||lateral ganglionic eminence
D26Dp4E01,17c45391-b3ae-41bb-a1e4-d763c09442bc,LGE neuron,CL:0000540||UBERON:0004025,neuron||lateral ganglionic eminence
D26Dp4E04,61a9e0fb-e8af-48bb-9087-fc20e3497ee9,LGE neuron,CL:0000540||UBERON:0004025,neuron||lateral ganglionic eminence
