project.provenance.document_id,project.project_core.project_short_name,project.project_core.project_title
005d611a-14d5-4fbf-846e-571a1f874f70,HPSI human cerebral organoids,Assessing the relevance of organoids to model inter-individual variation
2043c65a-1cf8-4828-a656-9e247d4e64f1,InVitroInterneuronDifferentiation,Single-cell RNA-seq analysis  throughout a 125-day differentiation protocol that converted H1 human embryonic stem cells to a variety of ventrally-derived cell types.
4a95101c-9ffc-4f30-a809-f04518a23803,HumanTissueTcellActivation,A single-cell reference map of transcriptional states for human blood and tissue T cell activation
cc95ff89-2e68-4a08-a234-480eca21ce79,CensusOfImmuneCells,Census of Immune Cells
f8aa201c-4ff1-45a4-890e-840d63459ca2,HumanColonicMesenchymeIBD,Structural Remodeling of the Human Colonic Mesenchyme in Inflammatory Bowel Disease
f83165c5-e2ea-4d15-a5cf-33f3550bffde,FetalMaternalInterface,Reconstructing the human first trimester fetal-maternal interface using single cell transcriptomics
cddab57b-6868-4be4-806f-395ed9dd635a,scHumanPancreas,Single cell transcriptome analysis of human pancreas reveals transcriptional signatures of aging and somatic mutation patterns
8185730f-4113-40d3-9cc3-929271784c2b,WongAdultRetina,A single-cell transcriptome atlas of the adult human retina
091cf39b-01bc-42e5-9437-f419a66c8a45,HumanHematopoieticProfiling,Profiling of CD34+ cells from human bone marrow to understand hematopoiesis
abe1a013-af7a-45ed-8c26-f3793c24a1f4,KidneySingleCellAtlas,Spatio-temporal immune zonation of the human kidney
4d6f6c96-2a83-43d8-8fe1-0f53bffd4674,SingleCellLiverLandscape,Dissecting the human liver cellular landscape by single cell RNA-seq reveals novel intrahepatic monocyte/ macrophage populations
116965f3-f094-4769-9d28-ae675c1b569c,Reprogrammed_Dendritic_Cells,Single cell profiling of human induced dendritic cells generated by direct reprogramming of embryonic fibroblasts
20fc6b31-8e89-44e8-9b66-bec1539bebbf,TissueStability,Ischaemic sensitivity of human tissue by single cell RNA seq
