UUID	dcp id	organ	organ ontology term
a72bed96-a4f7-401a-a67a-17b8a7357faf	dcp8363674281458525	Lung	UBERON_0002048
a815c84b-8999-433f-958e-422c0720e00d	dcp2694572861373312	Brain	UBERON_0000955
910fc0b2-3054-47b2-97f0-549f23e29d72	dcp8281464669983769	Bone marrow	UBERON_0002371
996120f9-e84f-409f-a01e-732ab58ca8b9	dcp7672155822831376	Brain	UBERON_0000955
7b947aa2-43a7-4082-afff-222a3e3a4635	dcp4466758098793193	Kidney	UBERON_0002113
7adede6a-0ab7-45e6-9b67-ffe7466bec1f	dcp9181581810447527	Pancreas	UBERON_0001264
520afa10-f9d2-4e93-ab7a-26c4c863ce18	dcp3770407535316120	Tonsil	UBERON_0002372
842605c7-375a-47c5-9e2c-a71c2c00fcad	dcp9553430125527590	Epididymis	UBERON_0001301
1ce3b3dc-02f2-44a8-96da-d6d107b27a76	dcp2051538064834324	haemopoietic cells	EFO_0002883
0fd8f918-62d6-4b8b-ac35-4c53dd601f71	dcp6860092257190645	Blood	UBERON_0000178
546cb86d-d690-4066-b250-23ed21b7a960	dcp7079686486910951	lymph node	UBERON_0000029
61267778-6563-4bf1-a4d5-60579db2b9cd	dcp9726993126516927	Blood,umbilical cord blood,bone marrow	UBERON_0000178,UBERON_0002371
24c654a5-caa5-440a-8f02-582921f2db4a	dcp9750428769713455	Eye	UBERON_0000970
518e1fcc-fb8b-4a93-811c-b573c12a9112	dcp0367244606985633	Organoid	NCIT_C172259
b51f49b4-0d2e-4cbd-bbd5-04cd171fc2fa	dcp2379815324161179	Brain	UBERON_0000955
52b29aa4-c8d6-42b4-807a-b35be94469ca	dcp2834682943757194	Brain	UBERON_0000955
280470e6-e10a-46c5-893a-9c2c15e12304	dcp5366443558099526	Trachea	UBERON_0003126
955dfc2c-a8c6-4d04-aa4d-907610545d11	dcp4837185903082827	Blood, Tumor	UBERON_0000178
