UUID	dcp id	technology	technology ontology term
a72bed96-a4f7-401a-a67a-17b8a7357faf	dcp8363674281458525	10X v2 3'	EFO_0009899
a815c84b-8999-433f-958e-422c0720e00d	dcp2694572861373312	Smart-seq2	EFO_0008931
996120f9-e84f-409f-a01e-732ab58ca8b9	dcp7672155822831376	10X v2 3'	EFO_0009899
5116c081-8be7-49c5-8ce0-73b887328aa9	dcp2887077501438442	InDrops	EFO_0008780
7b947aa2-43a7-4082-afff-222a3e3a4635	dcp4466758098793193	10x	EFO:0008995
7adede6a-0ab7-45e6-9b67-ffe7466bec1f	dcp9181581810447527	Fluidigm C1-based library preparation	EFO:0010058
07073c12-8006-4710-a00b-23abdb814904	dcp2310157431320412	10X v3 3'	EFO_0009922
520afa10-f9d2-4e93-ab7a-26c4c863ce18	dcp3770407535316120	Smart-seq2	EFO_0008931
842605c7-375a-47c5-9e2c-a71c2c00fcad	dcp9553430125527590	10X 3'	EFO_0009899
1ce3b3dc-02f2-44a8-96da-d6d107b27a76	dcp2051538064834324	Smart-seq2	EFO_0008931
0fd8f918-62d6-4b8b-ac35-4c53dd601f71	dcp6860092257190645	10x	EFO:0008995
08b794a0-519c-4516-b184-c583746254c5	dcp8443673587917431	modified Smart-seq2	EFO_0010184
24c654a5-caa5-440a-8f02-582921f2db4a	dcp9750428769713455	10X v2 3'	EFO_0009899
b51f49b4-0d2e-4cbd-bbd5-04cd171fc2fa	dcp2379815324161179	10x	EFO:0008995
52b29aa4-c8d6-42b4-807a-b35be94469ca	dcp2834682943757194	Fluidigm C1-based library preparation	EFO:0010058
280470e6-e10a-46c5-893a-9c2c15e12304	dcp5366443558099526	10x,Smart-seq2	EFO_0008931
be1c7afe-a2e0-4ace-bed3-c203c1e2ca11	dcp8075378354471991	Fluidigm C1-based library preparation	EFO:0010058
955dfc2c-a8c6-4d04-aa4d-907610545d11	dcp4837185903082827	10x	EFO_0008931
d1336875-b8e1-43aa-ac5e-27547d8df798	dcp2215675174786677	10X	EFO:0008995
248fcf03-16c6-4a41-b6cc-aad4d894ca42	dcp0440481804265957	Smart-seq2	EFO_0008931
72c636f3-d51f-4e5d-9cf8-9b91427a9e0c	dcp3682732421313714	10x	EFO:0008995
115da023-665e-4e69-a25b-860bb89bb2a5	dcp8156841393659508	STRT-seq	EFO:0008953
7ab43609-6e13-48b4-bc4d-bfdd0dce76dd	dcp8546515708758958	Fluidigm C1-based library preparation	EFO:0010058
769167a7-ce88-443c-a304-e259283776f1	dcp2990587397713538	10X v2	EFO_0009310
d3ac7c1b-5302-4804-b611-dad9f89c049d	dcp0729574971292247	10x	EFO:0008995
71eb5f6d-cee0-4297-b503-b1125909b8c7	dcp4594019005729279	10X v2 3'	EFO_0009899
4d2060ea-0a10-4335-9701-0d15b5aba589	dcp0300775453149304	10x	EFO:0008995
